,indicator,ISO Country code (2018),population (2018),surface area (Km2) (2018),GINI index,happy planet index (2016),happy planet index (2019),human development index (2017),human development index (2021),sustainable economic development assessment (SEDA) (2018),"GDP growth
(annual %) (2018)","GDP growth
(annual %) (Latest)","GDP ($ USD billions PPP) (2018)","GDP ($ USD billions PPP) (2019)","GDP ($ USD billions PPP) (2020)","GDP ($ USD billions PPP) (2021)",GDP per capita in $ (PPP) (2018),GDP per capita in $ (PPP) (2019),GDP per capita in $ (PPP) (2020),GDP per capita in $ (PPP) (2021),Economic Growth (2018),Economic Growth (2021),"health expenditure % of GDP (2014)","health expenditure % of GDP (2015)","health expenditure % of GDP (2016)","health expenditure % of GDP (2017)","health expenditure % of GDP (2018)","health expenditure % of GDP (2019)","health expenditure % of GDP (2020)","health expenditure % of GDP (2021)","health expenditure % of GDP (Latest)","health expenditure per person (2015)","health expenditure per person (2018)","health expenditure per person (2019)",infant mortality (2020),"maternal mortality per 100,000 live births (Latest)","education expenditure% of GDP (2014)","education expenditure % of GDP (2018)","education expenditure% of (Latest)",Education as % of GDP (2018),Education as % of GDP (Latest),% of primary school aged kids out of school (2018),% of primary school aged kids out of school (Latest),unemployment (%) (2018),unemployment (%) (2021),% of population in extreme poverty (Latest),% of population with access to electricity (2020),political rights score (2018),political rights score (2022),civil liberties score (2018),civil liberties score (2022),political stability & absence of violence (2017),political stability & absence of violence (2021),government effectiveness (2017),government effectiveness (2021),regulatory quality (2017),regulatory quality (2021),rule of law (2017),rule of law (2021),control of corruption (2017),control of corruption (2021),judicial effectiveness score (2018),judicial effectiveness score (2022),government integrity score (2018),government integrity score (2022),overall economic freedom score (2017),overall economic freedom score (2022),financial freedom score (2018),financial freedom score (2022),government expenditure (% of GDP) (2018),CO2e emissions per capita (2019),share of electricity from renewables generation (2015),share of electricity from renewables generation (Latest),% of seats held by women in national parliaments (2017),% of seats held by women in national parliaments (2018),% of seats held by women in national parliaments (2021),Military Spending as % of GDP (2021),Military Spending as % of GDP (2019)
12,Bangladesh,BGD,"165,000,000","130,170",32.1,38.4,54.5,0.608,0.661,35.3,6.4,6.94,838.8,904.9,936.1,"1,001.10",5322.0,5784.0,5995.0,6613.0,7.32,6.94,,,1.54,,,1.33,,,1.33,88,41.9,45.9,5.1,173,-,,1.33,,1.33,,,4.1,5.23,,96.2,19.0,15.0,26.0,24.0,-1.25,-0.97,-0.7,-0.6,-0.8,-0.8,-0.67,-0.611,-0.83,-0.96,32.6,28.1,21.2,22.2,55.1,52.7,30,40,13.9,0.56,,3.90%,20.3,20.0,21.0,1.27%,1.30%
13,Barbados,BRB,"300,000",430,-,-,-,0.8,0.79,60.8,0.5,1.4,4.5,4.4,3.8,3.9,15989.0,16154.0,14046.0,14817.0,-1.03,1.4,6.14,5.38,4.71,4.37,5.43,3.2,3.06,6.45,6.45,"1,234",1164.5,1143.3,9.6,27,6.2,5.43,6.45,5.43,6.45,1.61,2.65,11.4,10.41,,100.0,38.0,38.0,58.0,57.0,0.98,1.12,0.8,0.5,0.5,0.6,0.66,0.375,1.42,1.24,54.4,88.2,53.8,68.7,57,71.3,60,60,45,4.36,1.00%,3.30%,16.7,20.0,20.0,,
14,Belarus,BLR,"10,000,000","202,900",26.5,21.7,42.9,0.808,0.808,59.9,-3.9,2.51,179.1,181.6,180,184.5,19428.0,20093.0,20238.0,21699.0,3.15,2.51,4.82,4.79,4.95,4.79,5.38,4.98,4.95,,4.95,"1,085",351.0,399.4,10.0,2,4.8,5.38,4.95,5.38,4.95,1.3,5.24,0.5,4.74,0,100.0,6.0,2.0,15.0,6.0,0.03,-0.74,-0.4,-0.8,-0.7,-0.9,-0.82,-1.1,-0.26,-0.24,57.3,15.5,42,43.7,58.1,53,10,20,41.7,6.12,23.80%,29.80%,34.5,35.0,40.0,1.16%,1.20%
15,Belgium,BEL,"11,000,000","30,278",25.9,23.7,42.5,0.916,0.937,77.5,1.4,6.24,584.4,596.7,562.8,598,52535.0,54278.0,53070.0,58931.0,1.84,6.24,6.59,6.45,6.46,6.43,6.38,,,,6.38,"4,782",5134.4,4960.4,56.5,5,6.6,6.38,,6.38,-,0.52,0.89,8.3,6.42,0.1,100.0,39.0,39.0,56.0,57.0,0.42,0.61,1.2,1.1,1.2,1.3,1.34,1.326,1.5,1.48,69.5,91.2,70.9,83.6,67.5,69.6,70,70,54.1,8.1,95.20%,52.00%,38,38.0,42.0,1.08%,0.90%
16,Belize,BLZ,"400,000","22,806",-,33.8,-,0.708,0.683,48.5,1.5,9.75,2.7,2.8,2.3,2.6,7319.0,7455.0,6166.0,6921.0,2.04,9.75,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,8.71,524,286.0,293.4,,36,6.5,7.47,8.71,7.47,8.71,0.66,0.15,11,8.22,,97.1,36.0,34.0,50.0,53.0,0.05,0.46,-0.6,-0.5,-0.5,-0.4,-0.96,-0.778,-0.27,-0.3,53.5,70.2,34.7,38.1,57.1,56.6,50,50,33.9,1.64,2.60%,3.20%,9.4,9.0,13.0,1.25%,1.20%
17,Benin,BEN,"11,000,000","110,622",36.5,13.4,41.4,0.515,0.525,34.5,5.2,6.6,36.3,38.8,40.3,42.9,3236.0,3426.0,3505.0,3789.0,6.7,6.6,3.16,3.17,2.9,3.54,2.93,2.97,3.0,,3,84,31.1,29.1,52.8,397,4.3,2.93,3,2.93,3,2.79,6.72,1,1.57,4.8,41.4,33.0,17.0,49.0,42.0,0.05,-0.3,-0.6,-0.2,-0.5,-0.4,-0.62,-0.594,-0.55,-0.15,31.3,55.3,30.2,40.3,56.7,61,50,50,21.9,0.62,,,7.2,7.0,8.0,0.56%,0.70%
18,Bhutan,BTN,"800,000","38,394",38.8,28.6,36.7,0.612,0.666,47.7,7.7,-10.08,8.6,9.1,8.1,,11620.0,12366.0,11129.0,,3.06,-10.08,6.04,7.59,6.99,7.23,6.85,5.68,,,5.68,287,102.7,116.0,36.1,183,5.9,6.85,5.68,6.85,5.68,8.14,3.65,2.4,4.33,,100.0,28.0,29.0,27.0,32.0,1.13,0.97,0.6,0.8,-0.3,-0.4,0.63,0.636,1.57,1.55,51.6,60.9,50.9,73.5,61.8,59.3,30,30,30.5,1.38,100.00%,100.00%,8.5,15.0,17.0,,
19,Bolivia,BOL,"11,000,000","1,083,301",47,23.3,45,0.693,0.692,44.8,4.8,6.11,98.3,100.4,91.7,97.3,8862.0,9093.0,8283.0,9030.0,4.22,6.11,8.26,8.94,8.85,8.66,8.9,,,,8.9,446,235.7,245.9,13.1,155,7.3,8.9,,8.9,-,6.79,4.9,3.7,8.51,0.9,97.6,28.0,27.0,39.0,39.0,-0.3,-0.32,-0.4,-0.7,-0.9,-1.2,-1.21,-1.163,-0.66,-0.86,11.4,28.4,23.1,28.7,44.1,43,40,40,42.2,1.94,32.50%,35.60%,53.1,53.0,46.0,1.54%,1.40%
20,Bosnia and Herzegovina,BIH,"3,900,000","51,187",33.8,25.3,47.8,0.768,0.78,50.2,2.8,7.1,47.8,49.2,47.6,51,14918.0,15711.0,15598.0,16846.0,3.74,7.1,,,,,,,,,-,"1,102",539.9,553.8,2.2,10,-,,,,,13.28,,25.8,15.22,,100.0,21.0,19.0,34.0,34.0,-0.38,-0.38,-0.5,-1,-0.2,-0.2,-0.21,-0.279,-0.52,-0.64,43.7,37.2,28.4,33.4,61.4,63.4,60,60,44.1,6.38,36.70%,37.30%,21.4,21.0,26.0,0.89%,0.90%
21,Botswana,BWA,"2,200,000","566,730",60.5,16.6,31.9,0.717,0.693,44.1,-0.3,11.36,36.6,37.8,34.5,38.4,16610.0,17097.0,15471.0,17604.0,3.98,11.36,,7.81,7.97,7.3,6.72,6.91,8.74,,8.74,970,494.2,481.5,77.5,144,-,6.72,8.74,6.72,8.74,,,18.4,24.72,,72.0,28.0,28.0,44.0,44.0,1.03,0.98,0.4,0.4,0.5,0.6,0.51,0.482,0.8,0.69,54.7,70.1,56.6,61.4,69.9,64.8,70,70,34.9,3.15,0.00%,0.20%,9.5,10.0,11.0,2.86%,2.80%
22,Brazil,BRA,"209,000,000","8,358,140",49,34.3,54.6,0.759,0.754,51.6,-3.8,4.62,"3,072.50","3,110.10","2,989.40","3,127.50",15019.0,15358.0,14834.0,16056.0,1.78,4.62,5.95,6.24,6.31,6.32,6.09,,,,6.09,"1,392",866.2,853.4,11.4,60,5.9,6.09,,6.09,-,0.52,,11.5,14.4,0.7,100.0,31.0,31.0,47.0,42.0,-0.41,-0.49,-0.3,-0.5,-0.1,-0.1,-0.28,-0.28,-0.53,-0.48,55.5,57.2,31.4,40,51.4,53.3,50,50,40.5,2.06,75.00%,86.00%,10.7,15.0,15.0,1.19%,1.50%
23,Brunei,BRN,"400,000","5,265",-,-,-,0.853,0.829,72.5,-0.2,-1.61,25.9,26.9,27.2,26.8,61832.0,64719.0,65607.0,66620.0,0.05,-1.61,3.35,,4.43,,,,,,-,"2,083",763.1,671.6,23.2,10,3.4,,,,,0.77,1.68,2,7.65,,100.0,6.0,7.0,22.0,21.0,1.19,1.17,1.1,1.5,0.7,1,0.65,0.89,0.71,1.25,57.1,51.6,45.4,61.1,64.2,64.8,50,50,37.5,16.13,0.10%,0.00%,9.1,9.0,9.0,3.26%,3.30%
24,Bulgaria,BGR,"7,000,000","108,489",40.2,20.4,40.1,0.813,0.795,59.9,3,4.18,156,162.3,155.2,161.7,23016.0,24498.0,24564.0,26705.0,2.68,4.18,,,,4.08,,,,,,"1,492",689.9,697.9,5.8,320,-,,,,,13.3,,8,5.42,0.3,99.7,33.0,33.0,47.0,46.0,0.37,0.46,0.3,-0.1,0.6,0.4,-0.04,-0.044,-0.16,-0.24,42.5,61.1,38.2,45.6,68.3,71,60,60,36.3,5.61,18.80%,21.10%,23.8,24.0,24.0,1.59%,3.20%
25,Burkina Faso,BFA,"19,000,000","273,800",39.5,17.9,41.5,0.423,0.449,33.4,4,6.91,41.8,44.2,45.1,48.2,2168.0,2267.0,2274.0,2462.0,6.6,6.91,4.05,3.67,,5.63,5.49,5.7,5.52,,5.52,96,40.3,42.3,24.3,548,4.6,5.49,5.52,5.49,5.52,20.66,24.5,3,4.76,8.4,19.0,23.0,23.0,37.0,30.0,-0.92,-1.64,-0.6,-0.7,-0.4,-0.5,-0.4,-0.438,-0.11,-0.06,47.1,36.3,31.8,41.4,60,58.3,40,40,23.3,0.25,9.90%,12.50%,11,11.0,6.0,2.89%,2.40%
26,Burundi,BDI,"11,000,000","25,680",42.4,15.6,37.7,0.417,0.426,28.3,-4.1,1.8,8.5,8.7,8.7,8.8,780.0,783.0,771.0,793.0,1.61,1.8,6.78,6.37,4.69,4.76,5.08,5.35,5.04,,5.04,64,22.4,20.6,3.4,,-,5.08,5.04,5.08,5.04,6.39,10.11,1.6,1.79,,11.7,4.0,4.0,14.0,10.0,-1.97,-1.36,-1.3,-1.3,-0.8,-1,-1.4,-1.294,-1.28,-1.58,21.7,7.1,26.2,12.2,50.9,39.4,30,30,26.7,0.06,87.00%,65.50%,36.4,36.0,38.0,1.92%,1.80%
27,Cabo Verde,CPV,"500,000","4,033",-,-,-,0.654,0.662,-,1.8,6.95,3.7,3.9,3.4,3.6,7028.0,7475.0,6376.0,7028.0,4.53,6.95,4.96,5.27,5.29,5.18,5.37,4.73,7.58,,7.58,310,190.5,177.9,6.7,58,5,5.37,7.58,5.37,7.58,6.45,,10.5,,,94.2,37.0,38.0,53.0,54.0,0.9,-,0.2,-,-0.2,-,0.41,-,0.84,-,52,77.4,42.8,60.9,60,66.7,60,60,30.8,1.18,30.70%,19.00%,23.6,24.0,39.0,,
28,Cambodia,KHM,"16,000,000","176,515",37.9,25.6,48,0.582,0.593,38.5,6.9,3.03,67.6,72.4,70.1,72.2,4259.0,4574.0,4423.0,4683.0,7.47,3.03,1.91,2.6,2.8,3.2,2.16,,,,2.16,210,92.9,113.3,39.2,160,1.9,2.16,,2.16,-,9.31,10.85,0.3,15.42,,86.4,10.0,5.0,20.0,19.0,0.17,-0.13,-0.7,-0.4,-0.5,-0.6,-1.06,-0.9,-1.29,-1.18,24.5,20.9,17.7,12.3,58.7,57.1,50,50,21.2,0.98,47.70%,50.10%,20.3,20.0,22.0,2.32%,2.30%
29,Cameroon,CMR,"24,000,000","472,710",44.6,16.7,39.9,0.556,0.576,32.1,5.9,3.49,93.6,96.9,97.3,100.7,3801.0,3901.0,3867.0,4064.0,3.96,3.49,2.58,2.66,2.56,3.06,3.03,3.08,3.17,,3.17,163,53.2,54.0,63.8,529,-,3.03,3.17,3.03,3.17,,,4.5,0.61,,64.7,9.0,6.0,13.0,9.0,-1.08,-1.41,-0.8,-0.9,-0.8,-0.9,-1.02,-1.097,-1.18,-1.09,29.4,10.9,23.4,19.9,51.9,52.9,50,50,21.6,0.36,77.00%,64.30%,31.1,31.0,34.0,1.02%,1.10%
30,Canada,CAN,"37,000,000","9,093,507",32.1,23.9,40.2,0.926,0.936,76.9,1.2,4.56,"1,814.80","1,848.90","1,752.20","1,832.10",49993.0,49299.0,46572.0,52085.0,2.78,4.56,,,,,,,,,-,"4,600",5018.7,5048.4,3.9,10,-,,,,,0.21,,7.1,3.87,,100.0,40.0,40.0,59.0,58.0,1.11,0.94,1.9,1.6,1.9,1.6,1.8,1.627,1.92,1.65,77.1,96.4,78.3,86.7,77.7,76.6,80,80,39.9,15.43,64.70%,68.80%,26.3,27.0,30.0,1.32%,1.30%
31,Central African Republic,CAF,"4,900,000","622,984",43.6,-,25.2,0.367,0.404,16.1,4.3,0.9,4.4,4.5,4.5,4.6,955.0,986.0,989.0,1021.0,3.79,0.9,2.22,1.91,1.75,1.75,1.57,1.77,2.17,,2.17,32,53.7,37.2,4.4,829,-,1.57,2.17,1.57,2.17,,,6.9,7.51,,15.5,4.0,3.0,5.0,4.0,-1.94,-2.1,-1.8,-1.6,-1.5,-1.5,-1.73,-1.667,-1.17,-1.23,28.2,12.3,24.6,18.3,49.2,45.7,30,30,13.4,0.05,86.20%,99.40%,8.6,9.0,13.0,1.86%,1.50%
32,Chad,TCD,"15,000,000","1,259,200",43.3,12.8,30.4,0.404,0.394,20.4,1.8,-1.2,24.4,25.2,24.8,24.5,1614.0,1646.0,1592.0,1591.0,2.37,-1.2,2.6,2.4,2.3,2.45,2.26,2.37,2.91,,2.91,100,29.7,29.9,11.6,1140,-,2.26,2.91,2.26,2.91,25.72,,5.8,1.88,8.4,11.1,4.0,1.0,14.0,14.0,-1.34,-1.34,-1.5,-1.4,-1.2,-1.2,-1.3,-1.325,-1.43,-1.48,24.1,13.6,23.1,13.1,49.3,49.8,40,40,17.7,0.14,,,12.8,15.0,32.0,2.79%,2.20%
33,Chile,CHL,"18,000,000","743,812",50.5,31.7,45.6,0.843,0.855,62.6,2.1,11.67,468.9,472.5,444.2,496.1,25527.0,25323.0,25089.0,29104.0,3.99,11.67,4.73,4.88,5.34,5.42,5.43,,,,5.43,"1,903",1455.1,1375.8,5.5,13,4.7,5.43,,5.43,-,1.28,,6.6,9.13,0.4,100.0,37.0,38.0,57.0,56.0,0.38,0.06,0.9,0.6,1.3,1,1.01,0.914,1.04,0.98,63.4,91.4,61.2,71.4,75.2,74.4,70,70,25,4.82,44.70%,48.30%,15.8,23.0,35.0,1.96%,1.80%
34,China,CHN,"1,386,000,000","9,326,410",46.5,25.7,41.9,0.752,0.768,50.8,6.9,8.11,"21,229.40","22,492.60","22,996.40","24,861.30",15496.0,16652.0,17189.0,19338.0,6.75,8.11,3.73,3.82,3.79,3.67,3.54,3.54,3.57,,3.57,762,501.1,535.1,57.9,29,-,3.54,3.57,3.54,3.57,,,4.6,4.82,0.1,100.0,0.0,-2.0,14.0,11.0,-0.25,-0.48,0.4,0.8,-0.2,-0.3,-0.26,0.035,-0.27,0.05,65.4,37.4,47.3,39.3,57.8,48,20,20,30.7,7.61,25.00%,29.20%,24.2,25.0,25.0,1.74%,1.90%
35,Colombia,COL,"49,000,000","1,038,700",51.1,40.7,60.2,0.843,0.752,49.1,3.1,10.56,710.9,733.5,681.8,753.9,15044.0,15673.0,14868.0,16894.0,2.56,10.56,4.63,4.47,4.48,4.54,4.45,4.51,4.93,,4.93,853,513.2,495.3,47.2,83,4.7,4.45,4.93,4.45,4.93,2.28,1.21,9.9,14.34,5.6,100.0,29.0,29.0,36.0,35.0,-0.79,-0.91,-0.1,0,0.3,0.2,-0.36,-0.452,-0.37,-0.34,36.4,59.1,33.4,42,68.9,65.1,70,70,29.2,1.61,69.40%,67.10%,18.7,18.0,19.0,3.40%,3.20%
36,Comoros,COM,"800,000","2,235",55.9,23.1,42.4,0.752,0.558,-,1,2.35,2.6,2.6,2.6,2.7,3147.0,3188.0,3148.0,3284.0,3.64,2.35,2.74,2.55,,,,,,,,121,69.4,72.3,12.2,273,4.9,,,,,18.15,,20,9.45,,86.7,24.0,16.0,31.0,26.0,0.03,-0.23,-1.6,-1.8,-1,-1.2,-1.05,-1.225,-0.68,-1.29,28.2,21.2,27.5,20.1,56.2,50.4,30,30,27.2,0.38,3.70%,0.40%,6.1,6.0,17.0,,
37,Congo (Dem. Rep.),COD,"81,000,000","2,267,048",42.1,-,40.5,0.457,0.479,24.8,7.7,5.71,91.3,95.3,96.9,102.5,1112.0,1144.0,1142.0,1219.0,5.82,5.71,1.95,2.17,2.12,1.45,,,2.45,2.7,2.7,34,18.5,20.6,33.0,473,-,,2.7,,2.7,,,3.6,5.43,,19.1,2.0,2.0,19.0,15.0,-2.3,-1.61,-1.6,-1.7,-1.5,-1.4,-1.69,-1.704,-1.42,-1.55,23.9,13.2,27.3,11.8,52.1,47.6,20,20,13.2,0.04,54.60%,28.90%,8.9,9.0,13.0,0.56%,2.70%
38,Congo (Rep.),COG,"4,500,000","341,500",48.9,18.8,47.2,0.606,0.571,32.7,2.5,-3.5,20.6,20.6,19.3,18.6,4022.0,3987.0,3689.0,3617.0,-4.81,-3.5,3.18,3.28,5.24,4.45,3.0,3.58,4.45,,4.45,203,49.5,48.6,11.4,378,-,3.0,4.45,3.0,4.45,15.63,,11.2,23.01,,49.5,4.0,4.0,13.0,15.0,-0.53,-0.61,-1.2,-1.6,-1.3,-1.4,-1.1,-1.136,-1.33,-1.37,28.2,14.9,24.6,13.4,38.9,48.5,30,30,47.1,1.35,99.80%,99.90%,11.3,11.0,11.0,2.91%,0.70%
39,Costa Rica,CRI,"4,900,000","51,060",48.5,44.7,62.1,0.794,0.809,58.9,3.7,7.58,103.4,105.9,101.6,109.3,21319.0,22632.0,22244.0,23387.0,2.62,7.58,6.68,6.87,6.89,7.07,6.77,6.8,6.71,,6.71,"1,286",909.7,921.6,14.0,27,6.9,6.77,6.71,6.77,6.8,0.12,0.07,9,17.95,0.9,99.9,38.0,38.0,53.0,53.0,0.51,0.87,0.3,0.3,0.5,0.5,0.45,0.452,0.47,0.5,57.8,78.4,51.8,63.1,65.6,65.4,50,50,19.3,1.63,99.10%,99.80%,35.1,46.0,46.0,,0.00%
40,Cote d'Ivoire,CIV,"24,000,000","318,003",41.5,14.4,39.6,0.794,0.55,30.5,8.6,7.02,126.2,134,136.7,146.3,5154.0,5433.0,5465.0,5940.0,6.89,7.02,3.31,3.49,3.97,3.8,3.24,3.72,3.44,,3.44,190,72.2,75.1,48.3,617,4.6,3.24,3.44,3.24,3.44,6.18,3.34,9.3,3.47,2.4,69.7,19.0,19.0,32.0,30.0,-1.09,-0.95,-0.7,-0.5,-0.4,-0.3,-0.63,-0.634,-0.52,-0.37,44.2,30,36.6,33.8,62,61.6,50,50,22.6,0.42,,,10.6,11.0,14.0,1.25%,1.10%
41,Croatia,HRV,"4,200,000","55,974",30.8,30.2,46.2,0.831,0.858,64.5,1.6,10.45,115.2,119.3,109.6,121.1,28877.0,30544.0,28780.0,33801.0,2.9,10.45,,,,3.85,3.91,,,,,"1,656",1014.2,1040.1,46.7,8,-,3.91,,3.91,-,1.62,,13.5,8.68,0.2,100.0,37.0,36.0,49.0,49.0,0.75,0.71,0.6,0.6,0.4,0.5,0.33,0.303,0.19,0.06,56.5,69.9,40.5,50,61,67.6,60,60,47.4,4.06,68.50%,59.20%,18.5,19.0,31.0,2.74%,1.70%
42,Cuba,CUB,"11,000,000","109,820",-,-,-,0.777,0.764,-,4.3,-10.95,0,0,0,0,,,,,2.25,-10.95,,,,,,,,,,-,986.9,1031.9,,36,-,,,,-,2.16,0.2,2.9,2.76,,100.0,1.0,1.0,13.0,11.0,0.69,0.43,-0.2,-0.2,-1.3,-1.4,-0.43,-0.404,0.27,-0.01,10,15.6,38.1,39.9,31.9,29.5,10,10,62.4,2.29,4.20%,4.60%,48.9,53.0,53.0,...,2.90%
43,Cyprus,CYP,"800,000","9,241",34.8,30.7,49.4,0.869,0.896,65.9,1.6,5.51,34.8,36.6,34.8,36.7,40559.0,42339.0,39593.0,42556.0,5.69,5.51,6.44,6.33,6.15,5.72,,,,,,"2,137",1981.8,1996.5,2.3,6,-,,,,-,0.58,,11.7,6.13,0.2,100.0,38.0,38.0,56.0,55.0,0.6,0.44,0.9,0.7,1,0.9,0.88,0.637,0.78,0.39,56.7,90.9,41.3,62.9,67.8,72.9,60,60,39.6,6.0,9.20%,13.30%,17.9,18.0,14.0,1.99%,1.60%
44,Czech Republic,CZE,"11,000,000","77,247",-,27.3,46.8,0.888,0.889,71.1,4.2,3.34,424.5,437.3,412,425.8,41135.0,42847.0,41608.0,44261.0,3.2,3.34,3.97,5.75,5.55,3.81,4.27,,,,4.27,"2,470",1765.6,1844.2,3.1,3,-,4.27,,4.27,4.27,0.41,,4,2.89,0,100.0,37.0,36.0,56.0,55.0,1.02,0.96,1,1.1,1.2,1.3,1.12,1.126,0.57,0.64,57.9,81.8,51.1,59.6,74.2,74.4,80,80,41.4,9.02,12.10%,15.60%,20,22.0,25.0,1.43%,1.20%
45,Denmark,DNK,"6,000,000","42,434",29,32.7,45.3,0.929,0.948,82,1.2,4.69,325.5,332.4,325.5,340.8,57483.0,58701.0,60230.0,64651.0,1.99,4.69,7.63,,,7.75,6.79,,,,6.79,"5,083",6216.8,6003.3,27.9,4,-,6.79,,6.79,6.79,0.6,,6.1,4.8,0.2,100.0,40.0,40.0,57.0,57.0,0.87,0.95,1.8,2,1.6,1.8,1.86,1.936,2.19,2.37,83.6,89.6,84.1,99.5,76.6,78,80,80,54.6,5.11,69.40%,85.20%,37.4,37.0,40.0,1.37%,1.30%
46,Djibouti,DJI,"1,000,000","23,180",40.9,16.4,-,0.476,0.509,-,6.5,4.31,4.9,5.1,5.2,5.4,5181.0,5482.0,5533.0,5926.0,4.77,4.31,,3.59,3.92,3.75,3.63,,,,3.63,147,71.1,61.8,31.7,248,-,3.63,,3.63,3.63,37.89,33.48,6.6,28.39,,61.8,7.0,5.0,19.0,19.0,-0.71,-0.71,-1,-0.8,-0.6,-0.9,-0.91,-1.009,-0.64,-0.78,13.8,28.3,29,24.5,45.1,55.3,50,50,49.3,0.43,,1.70%,10.8,26.0,26.0,,3.70%
47,Dominican Republic,DOM,"11,000,000","48,320",47.1,30.3,54.8,0.736,0.767,48.1,7,12.27,188.2,197.7,184.4,207.1,18135.0,19190.0,17934.0,20769.0,6.98,12.27,3.96,3.82,3.85,3.92,3.93,4.04,4.62,,4.62,873,461.5,491.1,19.5,95,-,5.57,4.7,3.93,4.62,5.67,4.11,14.4,8.5,0.4,100.0,26.0,27.0,41.0,41.0,0.16,0.14,-0.4,0,-0.1,0.1,-0.42,-0.096,-0.74,-0.57,23.1,55.9,26.2,30.8,61.6,63,40,40,17.7,2.54,12.20%,10.90%,26.8,27.0,28.0,0.65%,0.70%
48,Ecuador,ECU,"17,000,000","276,841",45.9,37,58.8,0.752,0.74,48.1,0,4.24,197.5,197.5,182.2,189.9,11838.0,11850.0,10890.0,11661.0,1.29,4.24,5.26,5.0,4.36,4.61,4.62,4.23,4.13,,4.13,980,495.2,486.5,16.6,59,-,4.62,4.13,4.62,4.13,1.31,1.38,5.4,6.43,2.1,98.8,25.0,31.0,35.0,40.0,-0.1,-0.27,-0.3,-0.2,-1,-0.7,-0.7,-0.339,-0.6,-0.57,23.3,47.3,30.2,37.2,48.5,54.3,40,40,39.8,2.26,54.10%,81.20%,38,38.0,39.0,2.46%,2.30%
49,Egypt,EGY,"98,000,000","995,450",31.8,23.8,43.2,0.696,0.731,43.1,4.2,3.33,"1,118.70","1,180.90","1,223.00","1,263.70",11638.0,12260.0,12606.0,13316.0,5.31,3.33,4.25,3.93,4.05,,,2.61,2.48,,2.48,495,125.5,149.8,3.1,37,-,,2.48,,2.48,0.65,,12,9.33,,100.0,10.0,6.0,16.0,12.0,-1.42,-1.02,-0.6,-0.4,-0.9,-0.5,-0.53,-0.245,-0.54,-0.68,52.5,22.1,32.2,28.7,53.4,49.1,50,50,34.1,2.48,8.70%,9.60%,14.9,15.0,28.0,1.30%,1.20%
50,El Salvador,SLV,"6,000,000","20,721",36,35.6,56.3,0.674,0.675,47.2,2.4,10.8,55.3,56.6,51.8,57.4,8822.0,9147.0,8420.0,9669.0,2.43,10.8,3.82,3.91,3.83,3.73,3.61,3.39,,,3.39,578,288.5,300.1,1.6,46,3.4,3.61,3.39,3.61,3.39,,,6.3,5.94,0.3,100.0,34.0,26.0,36.0,33.0,-0.25,-0.21,-0.4,-0.3,-0.2,-0.3,-0.86,-0.848,-0.51,-0.53,35.4,46.8,25.2,36.1,63.2,59.6,60,60,21.3,1.21,58.40%,71.20%,32.1,31.0,27.0,1.37%,1.20%
51,Equatorial Guinea,GNQ,"800,000","28,051",-,-,-,0.591,0.596,-,-12.2,-0.95,26.7,25.2,24.2,23.9,20873.0,19385.0,18158.0,18127.0,-6.24,-0.95,,,,,,,,,,790,310.6,254.9,3.6,301,-,,,,-,,,7.3,9.24,,66.7,1.0,0.0,6.0,5.0,-0.15,-0.29,-1.4,-1.2,-1.4,-1.7,-1.49,-1.197,-1.83,-1.57,17.6,6.9,26.2,6.5,42,47.2,30,30,36.1,3.95,45.90%,10.60%,24,20.0,23.0,1.31%,1.10%
52,Eritrea,ERI,"5,000,000","101,000",-,-,-,0.44,0.492,-,4.8,,0,0,0,0,,,,,,,,,,,,,,,,56,24.0,25.3,2.7,480,-,,,,-,47.35,,7.3,8.05,,52.2,1.0,1.0,2.0,2.0,-0.66,-1.01,-1.7,-1.7,-2.2,-2.3,-1.56,-1.572,-1.2,-1.24,13.8,3.9,23.4,11.1,41.7,39.7,20,20,28.5,0.25,1.00%,5.30%,22,22.0,22.0,...,
53,Estonia,EST,"1,300,000","42,388",34.8,17.9,34.4,0.871,0.89,70.8,1.1,8.35,46.4,48.3,46.9,50.8,36249.0,37851.0,37645.0,42192.0,4.13,8.35,4.39,5.14,5.16,4.96,5.26,,,,5.26,"1,887",1552.6,1598.8,35.4,9,-,5.26,,5.26,-,2.16,,6.9,6.33,0.3,100.0,38.0,38.0,56.0,56.0,0.66,0.76,1.1,1.4,1.6,1.6,1.28,1.428,1.24,1.54,83.9,92.3,75.7,83.9,78.8,80,80,70,39.8,7.67,16.50%,44.20%,26.7,27.0,26.0,2.16%,2.10%
54,Eswatini,SWZ,"1,100,000","17,204",50.4,15.5,35.3,0.588,0.597,-,1.7,7.43,9.7,9.9,9.8,10.5,8725.0,9018.0,8865.0,9816.0,2.38,7.43,7.07,5.36,5.41,6.14,5.68,5.65,5.34,5.0,5,-,298.1,264.1,,437,-,5.68,5,5.68,5,16.35,,25.3,25.76,,79.7,1.0,1.0,15.0,16.0,-0.3,-0.03,-0.6,-0.7,-0.6,-0.6,-0.29,-0.561,-0.3,-0.65,35.3,36.9,26.9,32.1,55.9,51.4,40,40,34.1,0.84,53.60%,54.60%,6.2,7.0,10.0,1.70%,1.80%
